song_name,song_id,artist,track_preview,track_img
Phantom,2weNFSRqkClXtfBPTteafY,Justice,https://p.scdn.co/mp3-preview/00d2f9574583a0b5bfb950784db1bfb0d1a7cb8f?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e021c0bcf8b536295438d26c70d
Lost Your Mind,6G08WE2rjuoaspgwcK2xij,Zimmer,https://p.scdn.co/mp3-preview/b0289d6de5506815c0ae90c7cfbc098a71e9682b?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02d5fb938016dd2847f191710f
Evil Beauty,4FXj4ZKMO2dSkqiAhV7L8t,Blackmill,https://p.scdn.co/mp3-preview/a41ace891fe524f3bd6df35c1aadc31e081e6681?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02407d854ec15648eda1803e7b
Tahitian Moon,3DwzYRgOgojl0EcdOaJLYr,Porno for Pyros,https://p.scdn.co/mp3-preview/74c88170d8580f000a1d8ffa213525357e2be3d6?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e026d8093d1cc040dd109d65fff
Africa,3h4h7LYcudzLLRX2dJU6st,Various Artists,https://p.scdn.co/mp3-preview/bd791d8bd4420f3dc588fe6e2889f146dbd60187?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02bd0db295c0164ddbc0584ebb
Nuclear Family,206n37mZTmloL45RYhmMlP,Green Day,https://p.scdn.co/mp3-preview/29b87603db6d4d431921a6cd4b9e71eca379684b?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02ce8443b89b042130a2e6115b
How Hard I Try,0OfZ9imMwFU03zc2wl8pBt,filous,https://p.scdn.co/mp3-preview/4742fcf55696d435542e8079b971c83c361c662f?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e028e221cb32d1c775a95037598
We Won't Be Shaken,1B4L5VRP5fALiYJpHUHhZd,Building 429,https://p.scdn.co/mp3-preview/8f48cf4b449774f9706f24eb138d0c4ce2a52a38?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02ec83d01cfcf265f67cbb47ec
Rewind,514q6NjO0jX0yVOOpTs2Ez,Paolo Nutini,https://p.scdn.co/mp3-preview/e9b588903df497bbe89cb6c2f4d69af13a1b4e71?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02280a44b1caee9f2109602c41
Far Away,0G53JYumT2vVxRGOtROlXk,Nickelback,https://p.scdn.co/mp3-preview/36ab8e7a672fb870de85b931d753afd064c1a098?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02105db7f723f33d9273fbf4d8
You Broke Up with Me,6UsoV6X96Rox9mfxoz7SFy,Walker Hayes,https://p.scdn.co/mp3-preview/4df497037f77b0be90505963b101f39fe215be43?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e024136359ea8ab085ecdb0bd8d
Tiramisu de Limon,0x8BlHc0tPoiY8zAzsD2Wa,Joaquín Sabina,https://p.scdn.co/mp3-preview/e3cde4354c653d9c3f6650fc1891112f13cc8f85?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e022b4c74f60b28edfef95a3ad4
Jump (For My Love),4k0bXm9Q4RaTuYi09i4lKK,The Pointer Sisters,https://p.scdn.co/mp3-preview/280bb4dcd634b1fdef04c0768e586d9c0deeb1b9?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02c9190bba22c5eb5767cc2b88
Lights Down Low,60vvp6UXG2KmLmrNvcVHa8,MAX,https://p.scdn.co/mp3-preview/5fa71f90591c765bd7a1f9b49bfa9ed42c9c93ed?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0270249fae70c4d93a55f8d8a8
Grave Digger,3DAQWIPCCpmPDrb02wFrxb,Matt Maeson,https://p.scdn.co/mp3-preview/69f4eda31644a21a3db7cc55363172248108d1b6?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02d07978445afeaa3b5af0acb7
Valkyrie,0oNFVyzwK6TFdFHSsD1dmC,ONEUS,https://p.scdn.co/mp3-preview/b63fbe5002216e4b9ce062588c966f749492db84?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02460bbfc2471cfa19de47ec47
Death and All His Friends,0guzngk1qWk5sgdYbThEGI,Coldplay,https://p.scdn.co/mp3-preview/cc5e72f738bcc15d7a26f947a639cdde4c243828?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02e21cc1db05580b6f2d2a3b6e
Overwhelmed,0UcyrdirFfmpzEKQJ47Ixr,Big Daddy Weave,https://p.scdn.co/mp3-preview/067bc47acf571114f51e51f287fe4361d5ac8839?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e028f056e656dff02daf0958282
Beautiful Thing,4P3LBZjsWULnAS08KebYfW,Grace VanderWaal,https://p.scdn.co/mp3-preview/0116bd3a86a273de86c7068fea73e4d0dc62b564?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0294e46d981e432b9dd1e5393f
Far Behind,1t1NX1DJQDcmZA0lvCnFjC,Candlebox,https://p.scdn.co/mp3-preview/6c3ff3bac221e951b49fd2ec8957b303e2bf09d1?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0297cd10c091e2bdb3ed47a088
